hID,cID,Charge,Violent,Judge,Bond,Type,Date
4155204838,4155205457,TRAFFIC MAJOR,NO,Peggy Chiampas,50000,D,7/5/16
4155204436,4155205459,TRAFFIC MAJOR,NO,Peggy Chiampas,2000,D,7/5/16
4155204496,4155205464,TRAFFIC MAJOR,NO,Peggy Chiampas,1000,D,7/5/16
4155204607,4155205467,DRUG DELIVERY,NO,Peggy Chiampas,10000,D,7/5/16
4155205062,4155205481,WEAPON RELATED,NO,Peggy Chiampas,10000,D,7/5/16
4155204772,4155205488,WEAPON RELATED,NO,Peggy Chiampas,75000,D,7/5/16
4155204784,4155205489,WEAPON RELATED,NO,Peggy Chiampas,10000,D,7/5/16
4155204558,4155205490,WEAPON RELATED,NO,Peggy Chiampas,10000,D,7/5/16
4155205124,4155205494,WEAPON RELATED,NO,Peggy Chiampas,25000,D,7/5/16
4155204582,4155205497,TRAFFIC MAJOR,NO,Peggy Chiampas,5000,D,7/5/16
4155204582,4155205498,TRAFFIC MAJOR,NO,Peggy Chiampas,5000,D,7/5/16
4155203922,4155205502,TRAFFIC MAJOR,NO,Peggy Chiampas,10000,D,7/5/16
4155203922,4155205505,WEAPON RELATED,NO,Peggy Chiampas,10000,D,7/5/16
4155203906,4155205508,DRUG DELIVERY,NO,Peggy Chiampas,10000,D,7/5/16
4155205429,4155205672,WEAPON RELATED,NO,Peggy Chiampas,350000,D,7/6/16
4155204468,4155205674,WEAPON RELATED,NO,Peggy Chiampas,15000,D,7/6/16
4155205348,4155205675,WEAPON RELATED,NO,Peggy Chiampas,25000,D,7/6/16
4155205133,4155205686,DRUG POSSESSION,NO,Peggy Chiampas,100000,D,7/6/16
4155204370,4155205689,DRUG POSSESSION,NO,Peggy Chiampas,2000,D,7/6/16
4155204186,4155205690,DRUG POSSESSION,NO,Peggy Chiampas,10000,D,7/6/16
4155203869,4155205691,TRAFFIC MAJOR,NO,Peggy Chiampas,10000,D,7/6/16
4155204151,4155205692,DRUG POSSESSION,NO,Peggy Chiampas,10000,D,7/6/16
4155205159,4155205693,THEFT,NO,Peggy Chiampas,5000,D,7/6/16
4155203973,4155205695,DRUG POSSESSION,NO,Peggy Chiampas,25000,D,7/6/16
4155204461,4155205699,TRAFFIC MAJOR,NO,Peggy Chiampas,5000,D,7/6/16
4155204461,4155205700,TRAFFIC MAJOR,NO,Peggy Chiampas,5000,D,7/6/16
4155205059,4155205706,DRUG POSSESSION,NO,Peggy Chiampas,10000,D,7/6/16
4155204889,4155205708,WEAPON RELATED,NO,Peggy Chiampas,150000,D,7/6/16
4155204317,4155205709,DRUG POSSESSION,NO,Peggy Chiampas,10000,D,7/6/16
4155204317,4155205711,TRAFFIC MAJOR,NO,Peggy Chiampas,10000,D,7/6/16
4155204729,4155205713,WEAPON RELATED,NO,Peggy Chiampas,100000,D,7/6/16
4155204142,4155205714,DRUG POSSESSION,NO,Peggy Chiampas,10000,D,7/6/16
4155204170,4155205715,WEAPON RELATED,NO,Peggy Chiampas,50000,D,7/6/16
4155204710,4155205719,TRAFFIC MAJOR,NO,Peggy Chiampas,5000,D,7/6/16
4155204437,4155205722,DRUG POSSESSION,NO,Peggy Chiampas,5000,D,7/6/16
4155204347,4155205725,DRUG POSSESSION,NO,Peggy Chiampas,50000,D,7/6/16
4155204415,4155205726,TRAFFIC MAJOR,NO,Peggy Chiampas,50000,D,7/6/16
4155204315,4155205727,DRUG DELIVERY,NO,Peggy Chiampas,10000,D,7/6/16
4155204733,4155205732,WEAPON RELATED,NO,Peggy Chiampas,75000,D,7/6/16
4155204682,4155205736,TRAFFIC MAJOR,NO,Peggy Chiampas,10000,D,7/6/16
4155205396,4155205737,DRUG DELIVERY,NO,Peggy Chiampas,5000,D,7/6/16
4155204652,4155205738,DRUG POSSESSION,NO,Peggy Chiampas,250000,D,7/6/16
4155204652,4155205739,TRAFFIC MAJOR,NO,Peggy Chiampas,250000,D,7/6/16
4155204652,4155205740,TRAFFIC MAJOR,NO,Peggy Chiampas,250000,D,7/6/16
4155204306,4155205742,DRUG POSSESSION,NO,Laura Sullivan,75000,D,7/7/16
4155204723,4155205745,DRUG DELIVERY,NO,Laura Sullivan,25000,D,7/7/16
4155205190,4155205748,BATTERY,YES,Laura Sullivan,300000,D,7/7/16
4155205190,4155205749,BATTERY,YES,Laura Sullivan,300000,D,7/7/16
4155204720,4155205752,WEAPON RELATED,NO,Laura Sullivan,25000,D,7/7/16
4155204535,4155205753,BATTERY,YES,Laura Sullivan,25000,D,7/7/16
4155204465,4155205754,BATTERY,YES,Laura Sullivan,125000,D,7/7/16
4155204559,4155205755,DRUG POSSESSION,NO,Laura Sullivan,10000,D,7/7/16
4155204700,4155205759,DRUG POSSESSION,NO,Laura Sullivan,75000,D,7/7/16
4155204700,4155205760,WEAPON RELATED,NO,Laura Sullivan,75000,D,7/7/16
4155203908,4155205761,TRAFFIC MAJOR,NO,Laura Sullivan,10000,D,7/7/16
4155204831,4155205763,WEAPON RELATED,NO,Laura Sullivan,70000,D,7/7/16
4155204653,4155205765,BATTERY,YES,Laura Sullivan,500000,D,7/7/16
4155204800,4155205911,BATTERY,YES,Peggy Chiampas,350000,D,7/11/16
4155204800,4155205912,BATTERY,YES,Peggy Chiampas,350000,D,7/11/16
4155204800,4155205913,BATTERY,YES,Peggy Chiampas,350000,D,7/11/16
4155204800,4155205914,BATTERY,YES,Peggy Chiampas,350000,D,7/11/16
4155205344,4155205918,BATTERY,YES,Peggy Chiampas,100000,D,7/11/16
4155205344,4155205920,BATTERY,YES,Peggy Chiampas,100000,D,7/11/16
4155205344,4155205921,BATTERY,YES,Peggy Chiampas,100000,D,7/11/16
4155204666,4155205922,BATTERY,YES,Peggy Chiampas,150000,D,7/11/16
4155204279,4155205927,THEFT,NO,Peggy Chiampas,2000,D,7/11/16
4155204349,4155205931,TRAFFIC MAJOR,NO,Peggy Chiampas,350000,D,7/11/16
4155205195,4155205937,BATTERY,YES,Peggy Chiampas,500000,D,7/11/16
4155204849,4155205941,TRAFFIC MAJOR,NO,Peggy Chiampas,5000,D,7/11/16
4155205445,4155205980,DRUG POSSESSION,NO,Laura Sullivan,50000,D,7/7/16
4155205445,4155205981,BATTERY,YES,Laura Sullivan,50000,D,7/7/16
4155203896,4155205983,DRUG POSSESSION,NO,Laura Sullivan,200000,D,7/7/16
4155203896,4155205984,DRUG POSSESSION,NO,Laura Sullivan,200000,D,7/7/16
4155203896,4155205985,DRUG POSSESSION,NO,Laura Sullivan,200000,D,7/7/16
4155205009,4155205987,DRUG POSSESSION,NO,Laura Sullivan,15000,D,7/7/16
4155205307,4155205988,DRUG POSSESSION,NO,Laura Sullivan,10000,D,7/7/16
